Understat_ID, FPL_ID, Understat_Name, FPL_Name
2199,565,Pablo Sarabia,Pablo Sarabia
2517,-1,Martin Odegaard,
3635,-1,Bernardo Silva,
4419,453,Adam Armstrong,Adam Armstrong
5553,16,Declan Rice,Declan Rice
5584,388,Aaron Wan-Bissaka,Aaron Wan-Bissaka
5609,482,Yves Bissouma,Yves Bissouma
5682,-1,Gonçalo Guedes,
5956,57,Youri Tielemans,Youri Tielemans
6026,-1,Richarlison,
6042,455,Jan Bednarek,Jan Bednarek
6108,480,Rodrigo Bentancur,Rodrigo Bentancur
6219,65,Enes Ünal,Enes Ünal
6345,386,Jadon Sancho,Jadon Sancho
6820,62,David Brooks,David Brooks
6852,543,Matt Doherty,Matt Doherty
6888,18,William Saliba,William Saliba
6912,495,Pedro Porro,Pedro Porro
7753,295,James Justin,James Justin
7762,535,Jean-Ricner Bellegarde,Jean-Ricner Bellegarde
7902,593,Matthijs de Ligt,Matthijs de Ligt
7958,417,Sandro Tonali,Sandro Tonali
8129,578,Riccardo Calafiori,Riccardo Calafiori
8226,131,Tariq Lamptey,Tariq Lamptey
8563,272,George Hirst,George Hirst
8706,199,Eberechi Eze,Eberechi Eze
8845,-1,Hee-Chan Hwang,
8859,89,Mikkel Damsgaard,Mikkel Damsgaard
9415,-1,Jaden Philogene-Bidace,
9501,-1,Fabio Carvalho,
9667,233,Amadou Onana,Amadou Onana
9678,104,Ethan Pinnock,Ethan Pinnock
9733,88,Nathan Collins,Nathan Collins
9749,725,Donyell Malen,Donyell Malen
9912,27,Cameron Archer,Cameron Archer
10126,357,James McAtee,James McAtee
10527,115,Carlos Baleba,Carlos Baleba
10586,608,Tyler Dibling,Tyler Dibling
10744,63,Ryan Christie,Ryan Christie
10802,380,Lisandro Martínez,Lisandro Martínez
11003,449,Ryan Yates,Ryan Yates
11269,126,Jack Hinshelwood,Jack Hinshelwood
11709,70,Milos Kerkez,Milos Kerkez
11710,113,Simon Adingra,Simon Adingra
11943,580,Dean Huijsen,Dean Huijsen
12014,-1,Jake O&#039;Brien,
12948,-1,Mateus Fernandes,
13020,635,Bilal El Khannouss,Bilal El Khannouss
531,512,Michail Antonio,Michail Antonio
631,238,Ashley Young,Ashley Young
675,349,Jack Grealish,Jack Grealish
833,339,Virgil van Dijk,Virgil van Dijk
986,523,Danny Ings,Danny Ings
1299,557,Mario Lemina,Mario Lemina
1665,236,James Tarkowski,James Tarkowski
1687,377,Harry Maguire,Harry Maguire
1789,64,Lewis Cook,Lewis Cook
2248,-1,Casemiro,
2478,654,Carlos Soler,Carlos Soler
5136,-1,Estupiñán,
5221,28,Leon Bailey,Leon Bailey
5590,187,Tosin Adarabioyo,Tosin Adarabioyo
6088,651,Orel Mangala,Orel Mangala
6326,326,Ibrahima Konaté,Ibrahima Konaté
6482,11,Eddie Nketiah,Eddie Nketiah
6492,10,Reiss Nelson,Reiss Nelson
6827,-1,Bobby Reid,
6835,243,Tom Cairney,Tom Cairney
6885,167,Axel Disasi,Axel Disasi
7218,498,Cristian Romero,Cristian Romero
7726,44,Ezri Konsa Ngoyo,Ezri Konsa Ngoyo
7814,424,Taiwo Awoniyi,Taiwo Awoniyi
7892,-1,João Félix,
7908,770,Marshall Munetsi,Marshall Munetsi
8067,172,Reece James,Reece James
8204,437,Neco Williams,Neco Williams
8224,-1,William Smallbone,
8495,461,Taylor Harwood-Bellis,Taylor Harwood-Bellis
8646,291,Wout Faes,Wout Faes
8720,224,Jack Harrison,Jack Harrison
8853,650,Maxence Lacroix,Maxence Lacroix
8864,-1,Matthew Cash,
8919,267,Leif Davis,Leif Davis
8941,53,Jacob Ramsey,Jacob Ramsey
9154,423,Elliot Anderson,Elliot Anderson
9406,262,Nathan Broadhead,Nathan Broadhead
9453,-1,Moisés Caicedo,
9492,587,Crysencio Summerville,Crysencio Summerville
9630,462,Kamaldeen Sulemana,Kamaldeen Sulemana
9680,94,Vitaly Janelt,Vitaly Janelt
9738,289,Patson Daka,Patson Daka
9780,768,Mathys Tel,Mathys Tel
10177,123,Evan Ferguson,Evan Ferguson
10301,619,Jens Cajuste,Jens Cajuste
10764,504,Djed Spence,Djed Spence
10805,162,Levi Colwill,Levi Colwill
10807,144,Jan Paul van Hecke,Jan Paul van Hecke
10809,98,Keane Lewis-Potter,Keane Lewis-Potter
10845,518,Flynn Downes,Flynn Downes
10847,355,Rico Lewis,Rico Lewis
10866,80,Luis Sinisterra,Luis Sinisterra
11297,-1,Carlos Alcaraz,
11386,411,Lewis Miley,Lewis Miley
11707,6,Jurriën Timber,Jurriën Timber
11728,241,Calvin Bassey,Calvin Bassey
11735,-1,Sávio,
11766,652,Manuel Ugarte,Manuel Ugarte
12123,-1,Murillo,
12152,-1,Matheus França,
12272,597,Myles Lewis-Skelly,Myles Lewis-Skelly
12745,270,Jacob Greaves,Jacob Greaves
12748,278,Sam Morsy,Sam Morsy
12750,265,Conor Chaplin,Conor Chaplin
12754,281,Jack Taylor,Jack Taylor
12756,-1,Rodrigo Gomes,
12758,149,Mats Wieffer,Mats Wieffer
12761,-1,Yukinari Sugawara,
13021,620,Ramón Sosa,Ramón Sosa
13038,645,Justin Devenny,Justin Devenny
13066,628,Ferdi Kadioglu,Ferdi Kadioglu
13206,-1,Matt O&#039;Riley,
13387,730,Romain Esse,Romain Esse
65,509,Timo Werner,Timo Werner
111,307,Jannik Vestergaard,Jannik Vestergaard
181,248,Bernd Leno,Bernd Leno
314,625,Ilkay Gündogan,Ilkay Gündogan
468,421,Callum Wilson,Callum Wilson
473,308,Danny Ward,Danny Ward
486,463,Adam Lallana,Adam Lallana
489,134,James Milner,James Milner
510,215,Joel Ward,Joel Ward
534,517,Aaron Cresswell,Aaron Cresswell
579,341,Nathan Aké,Nathan Aké
585,-1,Seamus Coleman,
603,196,Nathaniel Clyne,Nathaniel Clyne
618,186,Raheem Sterling,Raheem Sterling
635,469,Alex McCarthy,Alex McCarthy
638,363,Kyle Walker,Kyle Walker
646,370,Christian Eriksen,Christian Eriksen
652,418,Kieran Trippier,Kieran Trippier
660,484,Ben Davies,Ben Davies
668,222,Idrissa Gueye,Idrissa Gueye
700,-1,Willian,
706,-1,Lukasz Fabianski,
741,235,Jordan Pickford,Jordan Pickford
757,214,Jeffrey Schlupp,Jeffrey Schlupp
782,160,Ben Chilwell,Ben Chilwell
804,542,Craig Dawson,Craig Dawson
807,371,Jonny Evans,Jonny Evans
825,81,Adam Smith,Adam Smith
831,488,Fraser Forster,Fraser Forster
843,531,James Ward-Prowse,James Ward-Prowse
884,416,Matt Targett,Matt Targett
885,476,Kyle Walker-Peters,Kyle Walker-Peters
910,254,Harrison Reed,Harrison Reed
934,282,Axel Tuanzebe,Axel Tuanzebe
971,309,Harry Winks,Harry Winks
978,204,Sam Johnstone,Sam Johnstone
985,225,Mason Holgate,Mason Holgate
987,-1,Joseph Gomez,
1006,387,Luke Shaw,Luke Shaw
1024,49,Tyrone Mings,Tyrone Mings
1038,764,Alex Palmer,Alex Palmer
1257,-1,Alisson,
1297,-1,Neto,
1389,-1,Jorginho,
1433,636,Federico Chiesa,Federico Chiesa
1537,-1,Sasa Lukic,
1545,405,Emil Krafth,Emil Krafth
1654,100,Ben Mee,Ben Mee
1683,397,Ryan Fraser,Ryan Fraser
1688,335,Andrew Robertson,Andrew Robertson
1735,472,Jack Stephens,Jack Stephens
1823,36,Lucas Digne,Lucas Digne
2182,-1,Jefferson Lerma,
2203,-1,Emiliano Buendía,
2310,513,Alphonse Areola,Alphonse Areola
2496,-1,Rodri,
2958,25,Oleksandr Zinchenko,Oleksandr Zinchenko
3203,245,Issa Diop,Issa Diop
3278,515,Maxwel Cornet,Maxwel Cornet
3303,-1,Ricardo Pereira,
3697,198,Odsonne Edouard,Odsonne Edouard
4120,-1,Álex Moreno,
4401,-1,Emiliano Martinez,
5061,-1,Kepa,
5261,767,Kevin Danso,Kevin Danso
5545,300,Wilfred Ndidi,Wilfred Ndidi
5552,413,Nick Pope,Nick Pope
5560,381,Scott McTominay,Scott McTominay
5603,14,Aaron Ramsdale,Aaron Ramsdale
5712,-1,Diego Carlos,
5722,-1,Ibrahim Sangare,
5789,42,Boubacar Kamara,Boubacar Kamara
5973,257,Kenny Tete,Kenny Tete
6034,76,Philip Billing,Philip Billing
6044,475,Charlie Taylor,Charlie Taylor
6048,120,Lewis Dunk,Lewis Dunk
6049,132,Solly March,Solly March
6054,-1,Ederson,
6080,376,Victor Lindelöf,Victor Lindelöf
6104,203,Will Hughes,Will Hughes
6145,205,Daichi Kamada,Daichi Kamada
6157,244,Timothy Castagne,Timothy Castagne
6163,-1,Nélson Semedo,
6221,52,Pau Torres,Pau Torres
6310,-1,Boubakary Soumare,
6314,191,Joachim Andersen,Joachim Andersen
6418,287,Hamza Choudhury,Hamza Choudhury
6424,275,Ben Johnson,Ben Johnson
6490,340,Manuel Akanji,Manuel Akanji
6532,-1,Martin Dubravka,
6630,420,Joe Willock,Joe Willock
6722,528,Konstantinos Mavropanos,Konstantinos Mavropanos
6816,591,Jean-Clair Todibo,Jean-Clair Todibo
6850,425,Willy Boly,Willy Boly
6851,288,Conor Coady,Conor Coady
6903,443,Matz Sels,Matz Sels
6962,51,Robin Olsen,Robin Olsen
7027,568,Arijanet Muric,Arijanet Muric
7047,91,Mark Flekken,Mark Flekken
7078,410,Sean Longstaff,Sean Longstaff
7166,95,Mathias Jensen,Mathias Jensen
7187,496,Sergio Reguilón,Sergio Reguilón
7198,501,Oliver Skipp,Oliver Skipp
7235,142,Jason Steele,Jason Steele
7240,-1,Benoit Badiashile Mukinayi,
7281,-1,Diogo Dalot,
7298,-1,Ben White,
7332,524,Max Kilman,Max Kilman
7333,301,Caleb Okoli,Caleb Okoli
7352,60,Tyler Adams,Tyler Adams
7382,395,Dan Burn,Dan Burn
7395,-1,Carlos Vinicius,
7420,-1,Miguel Almirón,
7438,223,James Garner,James Garner
7546,319,Harvey Elliott,Harvey Elliott
7582,84,Mark Travers,Mark Travers
7589,189,Wesley Fofana,Wesley Fofana
7688,59,Max Aarons,Max Aarons
7689,715,Ben Godfrey,Ben Godfrey
7699,147,Adam Webster,Adam Webster
7702,201,Dean Henderson,Dean Henderson
7723,48,John McGinn,John McGinn
7768,382,Mason Mount,Mason Mount
7904,325,Caoimhin Kelleher,Caoimhin Kelleher
7931,-1,Takehiro Tomiyasu,
7943,-1,Igor Julio,
7988,124,Billy Gilmour,Billy Gilmour
8089,21,Kieran Tierney,Kieran Tierney
8090,404,Lloyd Kelly,Lloyd Kelly
8093,479,Brandon Austin,Brandon Austin
8119,-1,Boubacar Traore,
8214,210,Tyrick Mitchell,Tyrick Mitchell
8252,431,Nicolás Domínguez,Nicolás Domínguez
8267,588,Guido Rodríguez,Guido Rodríguez
8285,622,Sander Berge,Sander Berge
8291,-1,Daniel Podence,
8384,156,Armando Broja,Armando Broja
8430,194,Chris Richards,Chris Richards
8476,219,Jarrad Branthwaite,Jarrad Branthwaite
8489,-1,Jorge Cuenca,
8496,544,Tommy Doyle,Tommy Doyle
8562,305,Luke Thomas,Luke Thomas
8635,393,Sven Botman,Sven Botman
8666,-1,Cheick Oumar Doucoure,
8719,359,Kalvin Phillips,Kalvin Phillips
8756,-1,Dara O&#039;Shea,
8780,145,Joël Veltman,Joël Veltman
8786,358,Stefan Ortega Moreno,Stefan Ortega Moreno
8808,-1,Wataru Endo,
8831,-1,Iyenoma Destiny Udogie,
8852,337,Konstantinos Tsimikas,Konstantinos Tsimikas
8858,508,Guglielmo Vicario,Guglielmo Vicario
8905,583,Conor Townsend,Conor Townsend
8940,255,Antonee Robinson,Antonee Robinson
8961,-1,Rúben Dias,
8965,-1,Vladimir Coufal,
9017,171,Malo Gusto,Malo Gusto
9098,185,Robert Sánchez,Robert Sánchez
9105,-1,Radu Dragusin,
9251,283,Christian Walton,Christian Walton
9272,-1,Filip Jorgensen,
9284,137,Jakub Moder,Jakub Moder
9332,500,Dane Scarlett,Dane Scarlett
9451,-1,Chimuanya Ugochukwu,
9509,69,Daniel Jebbison,Daniel Jebbison
9512,-1,Valentino Livramento,
9554,226,Tim Iroegbunam,Tim Iroegbunam
9556,590,William Osula,William Osula
9676,-1,David Raya,
9677,86,Kristoffer Ajer,Kristoffer Ajer
9679,92,Rico Henry,Rico Henry
9681,102,Frank Onyeka,Frank Onyeka
9685,-1,Mads Roerslev,
9710,-1,Armel Bella Kotchap,
9739,166,Kiernan Dewsbury-Hall,Kiernan Dewsbury-Hall
9740,-1,José Sá,
9752,-1,Jesper Lindstrom,
9802,765,Nico González,Nico González
9958,558,Yerson Mosquera,Yerson Mosquera
10004,-1,Romeo Lavia,
10012,8,Jakub Kiwior,Jakub Kiwior
10025,598,Lamare Bogarde,Lamare Bogarde
10036,-1,Jeremy Sarmiento,
10050,506,Micky van de Ven,Micky van de Ven
10053,674,Paris Maghoma,Paris Maghoma
10072,459,Samuel Edozie,Samuel Edozie
10120,313,Conor Bradley,Conor Bradley
10166,299,Kasey McAteer,Kasey McAteer
10184,489,Archie Gray,Archie Gray
10187,333,Jarell Quansah,Jarell Quansah
10216,399,Lewis Hall,Lewis Hall
10291,231,Vitalii Mykolenko,Vitalii Mykolenko
10292,234,Nathan Patterson,Nathan Patterson
10293,-1,Toti,
10327,-1,Chiquinho,
10564,572,Leny Yoro,Leny Yoro
10696,594,Noussair Mazraoui,Noussair Mazraoui
10697,323,Ryan Gravenberch,Ryan Gravenberch
10718,256,Jay Stansfield,Jay Stansfield
10721,338,Sepp van den Berg,Sepp van den Berg
10747,68,James Hill,James Hill
10758,444,Harry Toffolo,Harry Toffolo
10803,379,Tyrell Malacia,Tyrell Malacia
10822,612,Wilson Odobert,Wilson Odobert
10856,720,Emmanuel Agbadou,Emmanuel Agbadou
10864,79,Marcos Senesi,Marcos Senesi
10913,383,André Onana,André Onana
10945,564,Santiago Bueno,Santiago Bueno
11000,-1,Matheus Nunes,
11058,121,Julio Enciso,Julio Enciso
11094,-1,Antony,
11146,602,Ryan Trevitt,Ryan Trevitt
11164,605,Martial Godo,Martial Godo
11167,-1,Chadi Riad,
11174,378,Kobbie Mainoo,Kobbie Mainoo
11242,698,Divin Mubama,Divin Mubama
11281,757,Michael Kayode,Michael Kayode
11305,179,Mykhailo Mudryk,Mykhailo Mudryk
11310,595,Brajan Gruda,Brajan Gruda
11317,-1,Danilo,
11359,457,James Bree,James Bree
11367,296,Victor Kristiansen,Victor Kristiansen
11383,-1,Renato Veiga,
11385,600,Yasin Ayari,Yasin Ayari
11409,643,Kaelan Casey,Kaelan Casey
11486,85,Illia Zabarnyi,Illia Zabarnyi
11592,-1,Nico O&#039;Reilly,
11618,451,Samuel Amo-Ameyaw,Samuel Amo-Ameyaw
11633,-1,Marc Guiu,
11711,146,Bart Verbruggen,Bart Verbruggen
11719,632,Chiedozie Ogbene,Chiedozie Ogbene
11745,-1,Julián Araujo,
11763,-1,Abduqodir Khusanov,
11772,-1,Yehor Yarmolyuk,
11807,45,Ian Maatsen,Ian Maatsen
11815,584,Ben Brereton Díaz,Ben Brereton Díaz
11903,343,Oscar Bobb,Oscar Bobb
11926,-1,Edson Álvarez,
11944,766,Patrick Dorgu,Patrick Dorgu
11984,-1,Youssef Chermiti,
12136,-1,Kim Ji-Soo,
12149,77,Alex Scott,Alex Scott
12193,699,Alfie Dorrington,Alfie Dorrington
12296,701,Lewis Orford,Lewis Orford
12358,-1,Oliver Scarles,
12409,216,Adam Wharton,Adam Wharton
12410,-1,Joshua King,
12455,709,Jayden Danns,Jayden Danns
12461,613,Toby Collyer,Toby Collyer
12535,697,Josh Acheampong,Josh Acheampong
12559,670,Harry Amass,Harry Amass
12573,696,Tyrique George,Tyrique George
12595,109,Hákon Valdimarsson,Hákon Valdimarsson
12603,610,Mikey Moore,Mikey Moore
12633,-1,Yunus Konak,
12746,284,Luke Woolfenden,Luke Woolfenden
12747,277,Massimo Luongo,Massimo Luongo
12749,264,Wes Burns,Wes Burns
12751,260,Ali Al-Hamadi,Ali Al-Hamadi
12753,-1,Marcus Harness,
12755,263,Cameron Burgess,Cameron Burgess
12757,603,Harrison Armstrong,Harrison Armstrong
12762,466,Joe Lumley,Joe Lumley
12763,-1,Nathan Wood,
12765,428,Eric da Silva Moreira,Eric da Silva Moreira
12774,576,Andy Irving,Andy Irving
12775,-1,Kosta Nedeljkovic,
12782,726,Woyo Coulibaly,Woyo Coulibaly
12808,771,Mathis Amougou,Mathis Amougou
12880,734,Albert Grønbæk,Albert Grønbæk
12910,293,Mads Hermansen,Mads Hermansen
12911,570,Abdul Fatawu,Abdul Fatawu
12912,481,Lucas Bergvall,Lucas Bergvall
12946,627,Roman Dixon,Roman Dixon
12947,269,George Edmundson,George Edmundson
13019,631,Jack Clarke,Jack Clarke
13022,-1,André,
13026,-1,Luis Guilherme,
13039,646,Asher Agbinone,Asher Agbinone
13060,473,Ross Stewart,Ross Stewart
13067,649,Jayden Meghoma,Jayden Meghoma
13068,-1,Morato,
13080,658,Ayden Heaven,Ayden Heaven
13092,-1,Carlos Forbs,
13103,660,Vítezslav Jaros,Vítezslav Jaros
13117,664,Alfie Pond,Alfie Pond
13127,609,Will Lankshear,Will Lankshear
13130,666,Caleb Kporha,Caleb Kporha
13133,266,Harry Clarke,Harry Clarke
13134,467,Ryan Manning,Ryan Manning
13156,-1,Pedro Lima,
13185,672,Jahmai Simpson-Pusey,Jahmai Simpson-Pusey
13222,-1,Thiago,
13239,460,Ronnie Edwards,Ronnie Edwards
13242,687,Ben Winterburn,Ben Winterburn
13301,304,Jakub Stolarczyk,Jakub Stolarczyk
13302,606,Will Alves,Will Alves
13307,707,Remy Rees-Dottin,Remy Rees-Dottin
13348,716,Antonín Kinsky,Antonín Kinsky
13351,728,Zain Silcott-Duberry,Zain Silcott-Duberry
13364,714,Diego Gómez,Diego Gómez
13380,-1,Vitor Reis,
13392,731,Andrés García,Andrés García
13403,-1,Welington,
13459,763,Eiran Cashin,Eiran Cashin
13463,769,Nasser Djiga,Nasser Djiga
13466,776,Chido Obi-Martin,Chido Obi-Martin
13476,781,Shumaira Mheuka,Shumaira Mheuka
13579,792,Jeremy Monga,Jeremy Monga
-1,1,,Fábio Ferreira Vieira
-1,2,,Gabriel Fernando de Jesus
-1,3,,Gabriel dos Santos Magalhães
-1,5,,Karl Hein
-1,7,,Jorge Luiz Frello Filho
-1,9,,Gabriel Martinelli Silva
-1,13,,Martin Ødegaard
-1,15,,David Raya Martin
-1,22,,Tomiyasu Takehiro
-1,24,,Benjamin White
-1,73,,Norberto Murara Neto
-1,638,,Salah-Eddine Oulad M'hand
-1,639,,Tommy Setford
-1,657,,Maldini Kacurri
-1,659,,Ismeal Kabia
-1,662,,Josh Nichols
-1,665,,Nathan Butler-Oyedeji
-1,735,,Mikel Arteta
-1,756,,Jack Porter
-1,790,,Jimi Gower
-1,793,,Jack Henry-Francis
-1,801,,Brayden Clarke
-1,30,,Enzo Barrenechea
-1,31,,Emiliano Buendía Stati
-1,32,,Matty Cash
-1,33,,Leander Dendoncker
-1,34,,Moussa Diaby
-1,35,,Diego Carlos Santos Silva
-1,37,,Lewis Dobbin
-1,39,,Joe Gauci
-1,40,,Kortney Hause
-1,41,,Samuel Iling-Junior
-1,43,,Kaine Kesler-Hayden
-1,46,,Filip Marschall
-1,47,,Emiliano Martínez Romero
-1,50,,Kosta Nedeljković
-1,55,,Viljami Sinisalo
-1,56,,Lino da Cruz Sousa
-1,640,,Sil Swinkels
-1,641,,Oliwier Zych
-1,656,,Kadan Young
-1,679,,Ben Broggio
-1,710,,Jamaldeen Jimoh
-1,737,,Unai Emery
-1,61,,Jaidon Anthony
-1,66,,Romain Faivre
-1,67,,Hamed Traorè
-1,72,,Chris Mepham
-1,75,,Alex Paulsen
-1,152,,Kepa Arrizabalaga
-1,592,,Julián Araujo Zúñiga
-1,599,,Will Dennis
-1,617,,Francisco Evanilson de Lima Barbosa
-1,680,,Max Kinsey
-1,702,,Archie Harris
-1,712,,Matai Akinmboni
-1,713,,Julio Soler
-1,722,,Daniel Adu-Adjei
-1,723,,Dominic Sadi
-1,727,,Callan McKenna
-1,738,,Andoni Iraola
-1,87,,Ethan Brierley
-1,90,,Josh Dasilva
-1,93,,Aaron Hickey
-1,96,,Kim Ji-soo
-1,97,,Yunus Emre Konak
-1,103,,Myles Peart-Harris
-1,105,,Mads Roerslev Rasmussen
-1,107,,Igor Thiago Nascimento Rodrigues
-1,108,,Ivan Toney
-1,111,,Yehor Yarmoliuk
-1,112,,Mathias Jorgensen
-1,314,,Fábio Freitas Gouveia Carvalho
-1,634,,Gustavo Nunes Fernandes Gomes
-1,661,,Tony Yogane
-1,705,,Benjamin Arthur
-1,752,,Thomas Frank
-1,759,,Julian Eyestone
-1,780,,Iwan Morgan
-1,786,,Benjamin Fredrick
-1,114,,Benicio Baker-Boaitey
-1,116,,Valentín Barco
-1,118,,Amario Cozier-Duberry
-1,119,,Mahmoud Dahoud
-1,122,,Pervis Estupiñán
-1,125,,Pascal Groß
-1,127,,Ibrahim Osman
-1,128,,Igor Julio dos Santos de Paulo
-1,129,,João Pedro Junqueira de Jesus
-1,130,,Kacper Kozłowski
-1,133,,Adrian Mazilu
-1,136,,Mitoma Kaoru
-1,138,,Mark O’Mahony
-1,139,,Odeluga Offiah
-1,140,,Cameron Peupion
-1,141,,Jeremy Sarmiento Morante
-1,143,,Deniz Undav
-1,601,,Andrew Moran
-1,615,,Carl Rushworth
-1,629,,Matt O'Riley
-1,663,,Imari Samuels
-1,668,,Killian Cahill
-1,681,,Ruairi McConville
-1,685,,Jacob Slater
-1,739,,Fabian Hürzeler
-1,758,,Joe Knight
-1,791,,Charlie Tasker
-1,794,,Freddie Simmonds
-1,795,,Harry Howell
-1,150,,Andrey Nascimento dos Santos
-1,151,,Ângelo Gabriel Borges Damaceno
-1,153,,Benoît Badiashile
-1,154,,Lucas Bergström
-1,155,,Marcus Bettinelli
-1,157,,Moisés Caicedo Corozo
-1,158,,Cesare Casadei
-1,161,,Carney Chukwuemeka
-1,163,,Marc Cucurella Saseta
-1,164,,David Datro Fofana
-1,165,,Deivid Washington de Souza Eugênio
-1,169,,Conor Gallagher
-1,170,,Alfie Gilchrist
-1,173,,Omari Kellyman
-1,174,,Roméo Lavia
-1,175,,Romelu Lukaku Bolingoli
-1,176,,Malang Sarr
-1,178,,Marc Guiu Paz
-1,183,,Đorđe Petrović
-1,184,,Renato Palma Veiga
-1,560,,Pedro Lomba Neto
-1,575,,Caleb Wiley
-1,581,,Filip Jørgensen
-1,621,,João Félix Sequeira
-1,695,,Samuel Rak-Sakyi
-1,740,,Enzo Maresca
-1,774,,Aaron Anselmino
-1,782,,Ishé Samuels-Smith
-1,787,,Genesis Antwi
-1,190,,Naouirou Ahamada
-1,193,,Cheick Doucouré
